a0ti1,b1to2,c2to5,d5to15,e15to100
1958.991706,3920.393027,11368.85788,5496.271737,1866.844687
1967.499804,3937.419698,11418.23396,5520.14258,1874.952547
3333.817733,6671.737552,19347.55262,9353.567997,3176.995996
4246.770352,8498.766676,24645.80136,11915.00389,4047.001397
7330.792502,14670.60754,42543.6814,20567.72566,6985.944635
8155.395131,16320.82792,47329.19791,22881.2814,7771.756216
11735.03341,23484.51118,68103.34719,32924.5342,11183.00076
12981.80327,25979.58572,75338.87802,36422.54822,12371.11993
11998.25081,24011.27,69630.90865,33663.03308,11433.83585
9360.315409,18732.15179,54321.858,26261.87966,8919.994501
8759.008997,17528.79873,50832.22352,24574.8175,8346.974812
11373.9344,22761.86862,66007.73746,31911.41265,10838.8886
9178.001477,18367.29949,53263.81343,25750.36851,8746.257001
5396.209029,10799.05904,31316.47833,15139.93956,5142.368052
4691.988454,9389.750963,27229.5896,13164.13511,4471.275499
3286.964106,6577.97262,19075.64128,9222.112587,3132.346462
4486.537087,8978.595308,26037.26875,12587.70815,4275.488998
5378.984351,10764.58848,31216.51627,15091.61295,5125.953659
7395.666752,14800.43591,42920.174,20749.74084,7047.767063
5939.600199,11886.51032,34470.00626,16664.51118,5660.196955
4189.562398,8384.280342,24313.7995,11754.49774,3992.484626
1859.730554,3721.748529,10792.80359,5217.77856,1772.252989
4887.19564,9780.405643,28362.45916,13711.82037,4657.299727
2319.256503,4641.366123,13459.6263,6507.052758,2210.161868
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
2486.848319,4976.756068,14432.23223,6977.258641,2369.869811
3168.027961,6339.953915,18385.40472,8888.418042,3019.005325
3330.213591,6664.524832,19326.63627,9343.455997,3173.561401
3178.840337,6361.591976,18448.15349,8918.753905,3029.309063
4649.323359,9304.368251,26981.98608,13044.4313,4430.617461
6314.429153,12636.62966,36645.29662,17716.15429,6017.393163
3059.904208,6123.573303,17757.91702,8585.059405,2915.967941
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
2962.59283,5928.830752,17193.17809,8312.036631,2823.234296
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
1066.823024,2134.957365,6191.227093,2993.148541,1016.645503
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
2609.388573,5221.987429,15143.38496,7321.065096,2486.645513
1376.777786,2755.248456,7990.02518,3862.776639,1312.019339
552.9777571,1106.634264,3209.166491,1551.47273,526.9726021
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
747.6305071,1496.17939,4338.818419,2097.602429,712.4684759
650.5279954,1301.85483,3775.291628,1825.165664,619.9338713
483.9700014,968.5338013,2808.685407,1357.860336,461.2111169
780.7397429,1562.438621,4530.965266,2190.495733,744.0201833
347.3931451,695.2119566,2016.072361,974.6719277,331.0591242
413.4995584,827.5061631,2399.715733,1160.144137,394.0557523
937.8332844,1876.819093,5442.645281,2631.247012,893.7237131
940.5417809,1882.23942,5458.363827,2638.846136,896.3047962
1233.413699,2468.343794,7158.022972,3460.545559,1175.399401
1387.91781,2777.542219,8054.675435,3894.031775,1322.635313
2159.150181,4320.956381,12530.46185,6057.848636,2057.587285
735.1886288,1471.280317,4266.612957,2062.694732,700.6118898
3265.339355,6534.696498,18950.14374,9161.44086,3111.738986
6220.125791,12447.90684,36098.01447,17451.57099,5927.526031
6495.150347,12998.29452,37694.09786,18223.19676,6189.612851
5017.295791,10040.7661,29117.48515,14076.83733,4781.279692
6410.979159,12829.84853,37205.61699,17987.04091,6109.401253
7527.896788,15065.05876,43687.56062,21120.73354,7173.77672
10003.6117,20019.53629,58055.17743,28066.75121,9533.028775
9158.083943,18327.4399,53148.22359,25694.48665,8727.27643
8030.648073,16071.18024,46605.23817,22531.2834,7652.877523
7920.372972,15850.49428,45965.26529,22221.88881,7547.789995
9426.512912,18864.62829,54706.03,26447.60744,8983.077933
4312.595143,8630.497291,25027.81035,12099.68596,4109.729651
3564.809389,7134.005225,20688.09453,10001.65236,3397.121316
3113.966099,6231.763638,18071.66095,8736.738765,2967.486647
5449.439183,10905.58488,31625.39535,15289.28535,5193.094148
2285.396701,4573.604835,13263.1236,6412.053618,2177.894902
2737.077585,5477.522644,15884.4181,7679.317224,2608.327764
2189.507999,4381.709388,12706.64106,6143.022393,2086.517007
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
0.001987363,0.001987363,0.015094209,0.009979787,0.009979787
